_id,Date,Rain,Temp Max,Temp Min
15851,25-05-1994,0,34.63999939,24.51000023
15852,26-05-1994,0,34.47000122,24.29999924
15853,27-05-1994,0,34.65000153,24.43000031
15854,28-05-1994,0,34.08000183,24.17000008
15855,29-05-1994,0,33.59000015,23.46999931
15856,30-05-1994,0,34.56000137,24.87000084
15857,31-05-1994,0,34.59000015,25.54999924
15858,01-06-1994,35.70490265,34.97999954,23.14999962
15859,02-06-1994,0,33.74000168,24.04000092
15860,03-06-1994,0,32.49000168,24.44000053
15861,04-06-1994,11.79444885,31.63999939,24.26000023
15862,05-06-1994,17.92456818,32.11999893,23.76000023
15863,06-06-1994,0.220730126,31.38999939,22.17000008
15864,07-06-1994,0,30.92000008,22.81999969
15865,08-06-1994,0,32.08000183,24.06999969
15866,09-06-1994,0,31.81999969,24.23999977
15867,10-06-1994,4.401351452,31.86000061,22.32999992
15868,11-06-1994,1.042512894,27.85000038,22.09000015
15869,12-06-1994,5.307050228,29.60000038,22.59000015
15870,13-06-1994,19.56913567,27.53000069,22.45999908
15871,14-06-1994,14.80354977,28.19000053,22.57999992
15872,15-06-1994,6.374461174,28.55999947,23.18000031
15873,16-06-1994,217.6943512,28.44000053,22.07999992
15874,17-06-1994,44.14249802,28.15999985,23.10000038
15875,18-06-1994,0,29.31999969,23.65999985
15876,19-06-1994,0.164094135,28.70000076,23.92000008
15877,20-06-1994,1.658527732,29.20999908,23.40999985
15878,21-06-1994,0.135185719,29.88999939,24.34000015
15879,22-06-1994,0.169018418,29.97999954,23.73999977
15880,23-06-1994,0.341308981,28.94000053,23.81999969
15881,24-06-1994,0.142318383,28.18000031,24.28000069
15882,25-06-1994,0.316662461,28.78000069,23.76000023
15883,26-06-1994,0.210197404,29.14999962,23.56999969
15884,27-06-1994,0.500756562,29.13999939,23.39999962
15885,28-06-1994,2.51886034,28.82999992,23.04000092
15886,29-06-1994,6.105708599,27.19000053,23.04999924
15887,30-06-1994,1.396123767,27.31999969,22.87999916
15888,01-07-1994,9.580153465,27.56999969,22.54000092
15889,02-07-1994,14.22799015,26.97999954,22.52000046
15890,03-07-1994,14.86459732,28.39999962,22.97999954
15891,04-07-1994,10.37752056,28.25,21.34000015
15892,05-07-1994,24.92096329,25.95000076,21.18000031
15893,06-07-1994,6.29282999,27.21999931,22.10000038
15894,07-07-1994,10.23081493,27.81999969,22.69000053
15895,08-07-1994,11.05636311,28.34000015,23.22999954
15896,09-07-1994,16.08997917,28.63999939,23.37000084
15897,10-07-1994,52.8584404,27.73999977,23.07999992
15898,11-07-1994,37.80539322,28.13999939,23.09000015
15899,12-07-1994,116.6862183,27,21.62999916
15900,13-07-1994,68.83631134,26.23999977,21.94000053
15901,14-07-1994,140.3097839,25.93000031,22.27000046
15902,15-07-1994,67.09074402,27.10000038,23.04000092
15903,16-07-1994,51.07598495,27.26000023,22.82999992
15904,17-07-1994,23.78559494,27.36000061,22.64999962
15905,18-07-1994,23.18843269,27.54000092,22.55999947
15906,19-07-1994,26.30391502,27.43000031,22.52000046
15907,20-07-1994,61.27274704,26.79999924,22.42000008
15908,21-07-1994,67.35186005,26.45999908,22.56999969
15909,22-07-1994,58.32360458,25.75,21.45999908
15910,23-07-1994,47.86988449,26.70000076,22
15911,24-07-1994,45.06187057,27.02000046,22.65999985
15912,25-07-1994,30.01659203,27.60000038,22.84000015
15913,26-07-1994,17.39418411,27.77000046,23.07999992
